app_name,category,developer,rating,downloads,monthly_price,yearly_price,currency,free_trial_days,pricing_type,pricing_source,pricing_date,pricing_status,normalized_monthly_price,normalized_yearly_price,annualized_monthly_cost,annual_savings,annual_discount_pct,downloads_numeric,log_downloads,popularity_score,rating_score,engagement_score,price_tier,has_free_trial,is_freemium,is_verified_price,price_adjusted_value_score
Spotify,Music,Spotify AB,4.1534467,1000000000.0,139.0,1390.0,INR,,Subscription,Official website,2026-08-11,Verified,139.0,1390.0,1668.0,278.0,16.67,1000000000.0,9.0,87.73515207477469,83.068934,84.94,Low,False,False,True,80.31
Apple Music,Music,Apple,4.153107,100000000.0,139.0,,INR,,Subscription,Official website,2026-08-11,Verified,139.0,,1668.0,,,100000000.0,8.0,70.18812165981976,83.06214,77.91,Low,False,False,True,73.66
YouTube Music,Music,Google LLC,4.14588,5000000000.0,,,,,Subscription,Official website,2026-08-11,Not publicly available,,,,,,5000000000.0,9.698970004336019,100.0,82.9176,89.75,Not Comparable,False,False,False,
Amazon Music,Music,Amazon Mobile LLC,3.951367,100000000.0,119.0,,INR,,Subscription,Official website,2026-08-11,Verified,119.0,,1428.0,,,100000000.0,8.0,70.18812165981976,79.02734,75.49,Low,False,False,True,71.97
JioSaavn,Music,Saavn Media Limited,4.4382777,500000000.0,,,,,Subscription,Official website,2026-08-11,Not publicly available,,,,,,500000000.0,8.698970004336019,82.45296958504507,88.76555400000001,86.24,Not Comparable,False,False,False,
Gaana,Music,Entertainment Network (India) Ltd.,3.9576561,100000000.0,,,,,Subscription,Official website,2026-08-11,Not publicly available,,,,,,100000000.0,8.0,70.18812165981976,79.153122,75.57,Not Comparable,False,False,False,
Netflix,Streaming,"Netflix, Inc.",3.9847584,1000000000.0,499.0,,INR,,Subscription,Official website,2026-08-11,Verified,499.0,,5988.0,,,1000000000.0,9.0,87.73515207477469,79.695168,82.91,Medium,False,False,True,66.69
Amazon Prime Video,Streaming,Amazon Mobile LLC,3.9926503,500000000.0,299.0,1499.0,INR,,Subscription,Official website,2026-08-11,Verified,299.0,1499.0,3588.0,2089.0,58.22,500000000.0,8.698970004336019,82.45296958504507,79.85300600000001,80.89,Medium,False,False,True,71.41
Disney+,Streaming,JIOSTAR INDIA PRIVATE LIMITED,4.328112,1000000000.0,,,,,Subscription,Official website,2026-08-11,Not applicable,,,,,,1000000000.0,9.0,87.73515207477469,86.56224,87.03,Not Comparable,False,False,False,
JioHotstar,Streaming,JIOSTAR INDIA PRIVATE LIMITED,4.3281093,1000000000.0,,,,,Subscription,Official website,2026-08-11,Not publicly available,,,,,,1000000000.0,9.0,87.73515207477469,86.56218600000001,87.03,Not Comparable,False,False,False,
SonyLIV,Streaming,Sony Pictures Networks India Private Limited,3.558837,100000000.0,399.0,1499.0,INR,,Subscription,Official website,2026-08-11,Verified,399.0,1499.0,4788.0,3289.0,68.69,100000000.0,8.0,70.18812165981976,71.17674,70.78,Medium,False,False,True,59.71
ZEE5,Streaming,Z5X Global FZ LLC,4.425504,100000000.0,399.0,1699.0,INR,,Subscription,Official website,2026-08-11,Verified,399.0,1699.0,4788.0,3089.0,64.52,100000000.0,8.0,70.18812165981976,88.51008,81.18,Medium,False,False,True,68.48
Coursera,Education,"Coursera, Inc.",4.460456,10000000.0,,,,7.0,Subscription,Official website,2026-08-11,Verified,,,,,,10000000.0,7.0,52.64109124486481,89.20912,74.58,Not Comparable,True,False,True,
Udemy,Education,Udemy,4.4706283,10000000.0,,,,,Mixed,Official website,2026-08-11,Verified,,,,,,10000000.0,7.0,52.64109124486481,89.41256600000001,74.7,Not Comparable,False,False,True,
Duolingo,Education,Duolingo,4.5876904,500000000.0,,,,,Freemium,Official website,2026-08-11,Not publicly available,,,,,,500000000.0,8.698970004336019,82.45296958504507,91.75380799999999,88.03,Not Comparable,False,True,False,
Khan Academy,Education,Khan Academy,4.4075146,10000000.0,0.0,0.0,INR,0.0,Free,Official website,2026-08-11,Verified,0.0,0.0,0.0,0.0,,10000000.0,7.0,52.64109124486481,88.150292,73.95,Free,False,False,True,
Unacademy,Education,Unacademy,4.1199946,100000000.0,,,,,Subscription,Official website,2026-08-11,Not publicly comparable,,,,,,100000000.0,8.0,70.18812165981976,82.399892,77.52,Not Comparable,False,False,False,
BYJU'S,Education,Toppr,4.0564227,100000000.0,,,,,Subscription,Official website,2026-08-11,Not publicly available,,,,,,100000000.0,8.0,70.18812165981976,81.12845399999999,76.75,Not Comparable,False,False,False,
Notion,Productivity,"Notion Labs, Inc.",4.596298,10000000.0,,,,,Freemium,Official website,2026-08-11,Verified,,,,,,10000000.0,7.0,52.64109124486481,91.92596,76.21,Not Comparable,False,True,True,
Evernote,Productivity,Evernote by Bending Spoons,3.5770147,100000000.0,,,,,Freemium,Official website,2026-08-11,Not publicly available,,,,,,100000000.0,8.0,70.18812165981976,71.540294,71.0,Not Comparable,False,True,False,
Todoist,Productivity,Doist Inc.,4.603322,10000000.0,7.0,60.0,USD,7.0,Freemium,Official website,2026-08-15,Verified,595.0,5100.0,7140.0,2040.0,28.57,10000000.0,7.0,52.64109124486481,92.06644,76.3,High,True,True,True,58.5
Microsoft 365,Productivity,Microsoft Corporation,4.396221,1000000000.0,,6899.0,INR,,Subscription,Official website,2026-08-15,Verified,,6899.0,,,,1000000000.0,9.0,87.73515207477469,87.92442,87.85,Not Comparable,False,False,True,
Google Workspace,Productivity,Google LLC,4.6256948,1000000000.0,193.38,2320.56,INR,14.0,Subscription,Official website,2026-08-15,Verified,193.38,2320.56,2320.56,0.0,0.0,1000000000.0,9.0,87.73515207477469,92.51389599999999,90.6,Low,True,False,True,83.73
TickTick,Productivity,TickTick Limited,4.604452,10000000.0,4.17,49.99,USD,,Freemium,Official website,2026-08-15,Verified,354.45,4249.150000000001,4253.4,4.2499999999990905,0.1,10000000.0,7.0,52.64109124486481,92.08904000000001,76.31,Medium,False,True,True,65.7
Google One,Cloud Storage,Google LLC,4.0278635,1000000000.0,59.0,,INR,,Freemium,Official website,2026-08-15,Verified,59.0,,708.0,,,1000000000.0,9.0,87.73515207477469,80.55726999999999,83.43,Low,False,True,True,81.5
Dropbox,Cloud Storage,"Dropbox, Inc.",4.450789,1000000000.0,9.99,,USD,30.0,Freemium,Official website,2026-08-15,Verified,849.15,,10189.8,,,1000000000.0,9.0,87.73515207477469,89.01578,88.5,High,True,True,True,59.03
Microsoft OneDrive,Cloud Storage,Microsoft Corporation,4.4098153,5000000000.0,149.0,1499.0,INR,,Freemium,Official website,2026-08-15,Verified,149.0,1499.0,1788.0,289.0,16.16,5000000000.0,9.698970004336019,100.0,88.19630599999999,92.92,Low,False,True,True,87.49
iCloud+,Cloud Storage,Apple,,,75.0,,INR,,Subscription,Official website,2026-08-15,Verified,75.0,,900.0,,,,,,,,Low,False,False,True,
MEGA,Cloud Storage,Mega Ltd,4.4094586,100000000.0,,,,,Freemium,Official website,2026-08-15,Not publicly comparable,,,,,,100000000.0,8.0,70.18812165981976,88.189172,80.99,Not Comparable,False,True,False,
Box,Cloud Storage,Box,4.4517612,10000000.0,,,,,Freemium,Official website,2026-08-15,Not publicly comparable,,,,,,10000000.0,7.0,52.64109124486481,89.035224,74.48,Not Comparable,False,True,False,
ChatGPT,AI Tools,OpenAI,4.4883943,1000000000.0,20.0,,USD,,Freemium,Official website,2026-08-15,Verified,1700.0,,20400.0,,,1000000000.0,9.0,87.73515207477469,89.767886,88.95,High,False,True,True,29.65
Claude,AI Tools,Anthropic PBC,4.4997973,50000000.0,20.0,200.0,USD,,Freemium,Official website,2026-08-15,Verified,1700.0,17000.0,20400.0,3400.0,16.67,50000000.0,7.698970004336019,64.90593917009012,89.995946,79.96,High,False,True,True,26.65
Google Gemini,AI Tools,Google LLC,4.43132,1000000000.0,,,,,Freemium,Official website,2026-08-15,Not publicly comparable,,,,,,1000000000.0,9.0,87.73515207477469,88.6264,88.27,Not Comparable,False,True,False,
Perplexity AI,AI Tools,PerplexityAI,4.087414,100000000.0,20.0,200.0,USD,,Freemium,Official website,2026-08-15,Verified,1700.0,17000.0,20400.0,3400.0,16.67,100000000.0,8.0,70.18812165981976,81.74828,77.12,High,False,True,True,25.71
Grammarly,AI Tools,"Grammarly, Inc.",4.3933153,50000000.0,30.0,144.0,USD,,Freemium,Official website,2026-08-15,Verified,2550.0,12240.0,30600.0,18360.0,60.0,50000000.0,7.698970004336019,64.90593917009012,87.86630600000001,78.68,High,False,True,True,0.0
GitHub Copilot,AI Tools,GitHub,4.647161,10000000.0,10.0,100.0,USD,,Freemium,Official website,2026-08-15,Verified,850.0,8500.0,10200.0,1700.0,16.67,10000000.0,7.0,52.64109124486481,92.94322,76.82,High,False,True,True,51.21
Cult.fit,Health & Fitness,Curefit Healthcare Pvt. Ltd.,4.6329517,10000000.0,,,,,Subscription,Official website,2026-08-15,Not publicly comparable,,,,,,10000000.0,7.0,52.64109124486481,92.65903399999999,76.65,Not Comparable,False,False,False,
MyFitnessPal,Health & Fitness,"MyFitnessPal, Inc.",4.5307164,100000000.0,,,,,Freemium,Official website,2026-08-15,Not publicly comparable,,,,,,100000000.0,8.0,70.18812165981976,90.614328,82.44,Not Comparable,False,True,False,
Strava,Health & Fitness,Strava Inc.,4.6497045,100000000.0,6.67,79.99,USD,30.0,Freemium,Official website,2026-08-15,Verified,566.95,6799.15,6803.400000000001,4.2500000000009095,0.06,100000000.0,8.0,70.18812165981976,92.99409,83.87,High,True,True,True,65.22
Fitbit Premium,Health & Fitness,Google LLC,4.1706586,100000000.0,,,,,Subscription,Official website,2026-08-15,Not publicly available,,,,,,100000000.0,8.0,70.18812165981976,83.413172,78.12,Not Comparable,False,False,False,
Nike Run Club,Health & Fitness,"Nike, Inc.",4.551692,50000000.0,0.0,0.0,INR,0.0,Free,Official website,2026-08-11,Verified,0.0,0.0,0.0,0.0,,50000000.0,7.698970004336019,64.90593917009012,91.03384,80.58,Free,False,False,True,
Cure.fit,Health & Fitness,Curefit Healthcare Pvt. Ltd.,4.6329517,10000000.0,,,,,Subscription,Official website,2026-08-15,Not publicly comparable,,,,,,10000000.0,7.0,52.64109124486481,92.65903399999999,76.65,Not Comparable,False,False,False,
Groww,Finance,"Groww: Demat, Invest & Trade, Gold, Silver, Loans",4.7665563,100000000.0,,,,,Transaction-based,Official website,2026-08-15,Verified,,,,,,100000000.0,8.0,70.18812165981976,95.33112600000001,85.27,Not Comparable,False,False,True,
Zerodha Kite,Finance,Zerodha,4.4257874,10000000.0,,,,,Transaction-based,Official website,2026-08-15,Verified,,,,,,10000000.0,7.0,52.64109124486481,88.515748,74.17,Not Comparable,False,False,True,
INDmoney,Finance,"INDmoney: Indian & US Stocks, SIP, Flash Trading",4.5615473,10000000.0,,,,,Mixed,Official website,2026-08-15,Verified,,,,,,10000000.0,7.0,52.64109124486481,91.230946,75.8,Not Comparable,False,False,True,
TradingView,Finance,TradingView Inc.,4.73556,50000000.0,,,,,Subscription,Official website,2026-08-15,Verified,,,,,,50000000.0,7.698970004336019,64.90593917009012,94.7112,82.79,Not Comparable,False,False,True,
Moneycontrol Pro,Finance,Network18,3.4960465,10000000.0,,,,,Subscription,Official website,2026-08-15,Verified,,,,,,10000000.0,7.0,52.64109124486481,69.92093,63.01,Not Comparable,False,False,True,
ET Money,Finance,"ET Money: AMFI, SEBI Registered Investment Advisor",4.4166026,10000000.0,,,,,Mixed,Official website,2026-08-15,Verified,,,,,,10000000.0,7.0,52.64109124486481,88.332052,74.06,Not Comparable,False,False,True,
Amazon Shopping,Shopping,Amazon Mobile LLC,4.195391,500000000.0,,,,,Transaction-based,Official website,2026-08-11,Verified,,,,,,500000000.0,8.698970004336019,82.45296958504507,83.90782,83.33,Not Comparable,False,False,True,
Flipkart,Shopping,Flipkart,4.3386464,500000000.0,,,,,Mixed,Official website,2026-08-11,Verified,,,,,,500000000.0,8.698970004336019,82.45296958504507,86.77292800000001,85.04,Not Comparable,False,False,True,
Myntra,Shopping,Myntra,4.5952706,100000000.0,,,,,Transaction-based,Official website,2026-08-11,Verified,,,,,,100000000.0,8.0,70.18812165981976,91.905412,83.22,Not Comparable,False,False,True,
Meesho,Shopping,Meesho,4.402681,500000000.0,,,,,Transaction-based,Official website,2026-08-11,Verified,,,,,,500000000.0,8.698970004336019,82.45296958504507,88.05362000000001,85.81,Not Comparable,False,False,True,
Ajio,Shopping,Reliance Retail Ltd,4.4235506,100000000.0,,,,,Transaction-based,Official website,2026-08-11,Verified,,,,,,100000000.0,8.0,70.18812165981976,88.471012,81.16,Not Comparable,False,False,True,
Nykaa,Shopping,NYKAA,4.536374,50000000.0,0.0,0.0,INR,0.0,Free,Official website,2026-08-11,Verified,0.0,0.0,0.0,0.0,,50000000.0,7.698970004336019,64.90593917009012,90.72748000000001,80.4,Free,False,False,True,
WhatsApp Business,Communication,WhatsApp LLC,4.4786663,1000000000.0,,,INR,,Transaction-based,Official website,2026-08-11,Verified,,,,,,1000000000.0,9.0,87.73515207477469,89.57332600000001,88.84,Not Comparable,False,False,True,
Telegram Premium,Communication,Telegram FZ-LLC,4.120265,1000000000.0,,,,,Subscription,Official website,2026-08-15,Not publicly comparable,,,,,,1000000000.0,9.0,87.73515207477469,82.4053,84.54,Not Comparable,False,False,False,
Discord Nitro,Communication,Discord Inc.,4.4666295,500000000.0,,,,,Subscription,Official website,2026-08-15,Not publicly comparable,,,,,,500000000.0,8.698970004336019,82.45296958504507,89.33259,86.58,Not Comparable,False,False,False,
Slack,Communication,SLACK TECHNOLOGIES L.L.C.,4.763594,10000000.0,8.75,,USD,,Subscription,Official website,2026-08-15,Verified,743.75,,8925.0,,,10000000.0,7.0,52.64109124486481,95.27188000000001,78.22,High,False,False,True,55.41
Zoom,Communication,zoom.com,4.137752,1000000000.0,,,USD,,Subscription,Official website,2026-08-15,Not publicly comparable,,,,,,1000000000.0,9.0,87.73515207477469,82.75504,84.75,Not Comparable,False,False,False,
Microsoft Teams,Communication,Microsoft Corporation,4.6212106,500000000.0,115.0,,INR,30.0,Subscription,Official website,2026-08-15,Verified,115.0,,1380.0,,,500000000.0,8.698970004336019,82.45296958504507,92.42421200000001,88.44,Low,True,False,True,84.45
Airbnb,Travel,Airbnb,4.336916,100000000.0,,,,,Transaction-based,Official website,2026-08-11,Verified,,,,,,100000000.0,8.0,70.18812165981976,86.73832000000002,80.12,Not Comparable,False,False,True,
Booking.com,Travel,Booking.com Hotels & Vacation Rentals,4.66384,500000000.0,,,,,Transaction-based,Official website,2026-08-11,Verified,,,,,,500000000.0,8.698970004336019,82.45296958504507,93.27680000000001,88.95,Not Comparable,False,False,True,
MakeMyTrip,Travel,"MakeMyTrip: Flight, Hotel, Bus, IRCTC Train Ticket",4.4757233,100000000.0,,,,,Transaction-based,Official website,2026-08-11,Verified,,,,,,100000000.0,8.0,70.18812165981976,89.514466,81.78,Not Comparable,False,False,True,
